kod_kreskowy;nazwa_produktu;cena;kod_produktu;ilość;dostępność
;Artoz 1001 karta kwadrat duży żółty;1,74;650 452-275;17;
;Artoz 1001 karta kwadrat granat;0,98;650 432-417;0;
;Artoz 1001 karta kwadrat kość słon.;0,98;650 432-240;0;
;Artoz 1001 karta kwadrat kremowy;0,98;650 432-241;0;
;Artoz 1001 karta nieb.król;1,74;650 452-427;0;
;Artoz 1001 karta niebieski;1,74;650 452-393;0;
;Artoz 1001 karta róż;1,74;650 452-481;0;
;Artoz 1001 karta skł. podł. A6 błękit;1,33;650 325-391;32;
;Artoz 1001 karta skł. podł. A6 bordowy;1,33;650 325-519;0;
;Artoz 1001 karta skł. podł. A6 brzoskwiniowy;1,33;650 325-571;17;
;Artoz 1001 karta skł. podł. A6 c.morski;1,33;650 325-367;23;
;Artoz 1001 karta skł. podł. A6 c.zieleń;1,33;650 325-339;0;
;Artoz 1001 karta skł. podł. A6 ceglasty;1,33;650 325-549;36;
;Artoz 1001 karta skł. podł. A6 czarny;1,33;650 325-219;0;
;Artoz 1001 karta skł. podł. A6 czerwony;1,33;650 325-517;4;
;Artoz 1001 karta skł. podł. A6 fiołkowy;1,33;650 325-423;38;
;Artoz 1001 karta skł. podł. A6 j. kremowy;1,33;650 325-211;0;
;Artoz 1001 karta skł. podł. A6 j.czerwony;1,33;650 325-515;0;
;Artoz 1001 karta skł. podł. A6 j.fiołkowy;1,33;650 325-425;24;
;Artoz 1001 karta skł. podł. A6 j.morski;1,33;650 325-363;0;
;Artoz 1001 karta skł. podł. A6 j.zieleń;1,33;650 325-331;27;
;Artoz 1001 karta skł. podł. A6 kremowy;1,33;650 325-241;19;
;Artoz 1001 karta skł. podł. A6 liliowy;1,33;650 325-453;11;
;Artoz 1001 karta skł. podł. A6 mango;1,33;650 325-575;37;
;Artoz 1001 karta skł. podł. A6 miodowy;1,33;650 325-243;23;
;Artoz 1001 karta skł. podł. A6 nieb.pastel;1,33;650 325-413;12;
;Artoz 1001 karta skł. podł. A6 niebieski;1,33;650 325-393;38;
;Artoz 1001 karta skł. podł. A6 pomarańcz;1,33;650 325-545;39;
;Artoz 1001 karta skł. podł. A6 popielaty;1,33;650 325-215;0;
;Artoz 1001 karta skł. podł. A6 róż;1,33;650 325-481;8;
;Artoz 1001 karta skł. podł. A6 słoneczny;1,33;650 325-247;20;
;Artoz 1001 karta skł. podł. A6 wios.zieleń;1,33;650 325-305;0;
;Artoz 1001 karta skł. podł. A6 zieleń;1,33;650 325-337;25;
;Artoz 1001 karta skł. podł. A6 żółty;1,33;650 325-275;28;
;Artoz 1001 karta skł. wysoka A6 błękit;1,33;650 322-391;0;
;Artoz 1001 karta skł. wysoka A6 ceglasty;1,33;650 322-549;29;
;Artoz 1001 karta skł. wysoka A6 czarny;1,33;650 322-219;6;
;Artoz 1001 karta skł. wysoka A6 czerwony;1,33;650 322-517;0;
;Artoz 1001 karta skł. wysoka A6 fiołkowy;1,33;650 322-423;16;
;Artoz 1001 karta skł. wysoka A6 j. kremowy;1,33;650 322-211;0;
;Artoz 1001 karta skł. wysoka A6 j.czerwony;1,33;650 322-515;0;
;Artoz 1001 karta skł. wysoka A6 j.morski;1,33;650 322-363;0;
;Artoz 1001 karta skł. wysoka A6 j.zieleń;1,33;650 322-331;16;
;Artoz 1001 karta skł. wysoka A6 mango;1,33;650 322-575;11;
;Artoz 1001 karta skł. wysoka A6 nieb.pastel;1,33;650 322-413;11;
;Artoz 1001 karta skł. wysoka A6 niebieski;1,33;650 322-393;39;
;Artoz 1001 karta skł. wysoka A6 pomarańcz;1,33;650 322-545;14;
;Artoz 1001 karta skł. wysoka A6 popielaty;1,33;650 322-215;11;
;Artoz 1001 karta skł. wysoka A6 róż;1,33;650 322-481;0;
;Artoz 1001 karta skł. wysoka A6 słoneczny;1,33;650 322-247;119;
;Artoz 1001 karta skł. wysoka A6 zieleń;1,33;650 322-337;38;
;Artoz 1001 karta skł. wysoka A6 żółty;1,33;650 322-275;0;
;Artoz 1001 koperta B6 bordowy;1,33;650 364-519;0;
;Artoz 1001 koperta B6 brzoskwiniowy;1,33;650 364-571;0;
;Artoz 1001 koperta B6 c.zieleń;1,33;650 364-339;0;
;Artoz 1001 koperta B6 czarny;1,33;650 364-219;0;
;Artoz 1001 koperta B6 czerwony;1,33;650 364-517;0;
;Artoz 1001 koperta B6 granat;1,33;650 364-417;0;
;Artoz 1001 koperta B6 j.czerwony;1,33;650 364-515;0;
;Artoz 1001 koperta B6 j.morski;1,33;650 364-363;0;
;Artoz 1001 koperta B6 j.zieleń;1,33;650 364-331;17;
;Artoz 1001 koperta B6 liliowy;1,33;650 364-453;0;
;Artoz 1001 koperta B6 mango;1,33;650 364-575;0;
;Artoz 1001 koperta B6 miodowy;1,33;650 364-243;0;
;Artoz 1001 koperta B6 nieb.król;1,33;650 364-427;0;
;Artoz 1001 koperta B6 nieb.pastel;1,33;650 364-413;10;
;Artoz 1001 koperta B6 niebieski;1,33;650 364-393;4;
;Artoz 1001 koperta B6 pomarańcz;1,33;650 364-545;0;
;Artoz 1001 koperta B6 popielaty;1,33;650 364-215;0;
;Artoz 1001 koperta B6 żółty;1,33;650 364-275;0;
;Artoz 1001 koperta B7 ceglasty;1,14;650 194-549;0;WYCOFANY
;Artoz 1001 koperta B7 czerwony;1,14;650 194-517;0;
;Artoz 1001 koperta B7 j.zieleń;1,14;650 194-331;6;WYCOFANY
;Artoz 1001 koperta B7 pomarańcz;1,14;650 194-545;9;WYCOFANY
;Artoz 1001 koperta C5 błękit;1,78;650 394-391;0;
;Artoz 1001 koperta C5 bordowy;1,78;650 394-519;0;
;Artoz 1001 koperta C5 c.zieleń;1,78;650 394-339;0;
;Artoz 1001 koperta C5 ceglasty;1,78;650 394-549;0;
;Artoz 1001 koperta C5 czarny;1,78;650 394-219;0;
;Artoz 1001 koperta C5 czerwony;1,78;650 394-517;0;
;Artoz 1001 koperta C5 fiołkowy;1,78;650 394-423;0;
;Artoz 1001 koperta C5 granat;1,78;650 394-417;0;
;Artoz 1001 koperta C5 j.fiolet;1,78;650 394-425;0;
;Artoz 1001 koperta C5 j.morski;1,78;650 394-363;0;
;Artoz 1001 koperta C5 kremowy;1,78;650 394-241;0;
;Artoz 1001 koperta C5 liliowy;1,78;650 394-453;0;
;Artoz 1001 koperta C5 mango;1,78;650 394-575;18;
;Artoz 1001 koperta C5 miodowy;1,78;650 394-243;0;
;Artoz 1001 koperta C5 nieb.król;1,78;650 394-427;0;
;Artoz 1001 koperta C5 nieb.pastel;1,78;650 394-413;0;
;Artoz 1001 koperta C5 niebieski;1,78;650 394-393;0;
;Artoz 1001 koperta C5 pomarańcz;1,78;650 394-545;0;
;Artoz 1001 koperta C5 róż;1,78;650 394-481;0;
;Artoz 1001 koperta C5 słoneczny;1,78;650 394-247;0;
;Artoz 1001 koperta C5 z.jabłko;1,78;650 394-307;0;
;Artoz 1001 koperta C5 ziel.butelk;1,78;650 394-309;0;
;Artoz 1001 koperta C5 zieleń;1,78;650 394-337;0;
;Artoz 1001 koperta C5 żółty;1,78;650 394-275;0;
;Artoz 1001 koperta C6 brzoskwiniowy;0,85;650 324-571;0;
;Artoz 1001 koperta C6 ceglasty;0,85;650 324-549;0;
;Artoz 1001 koperta C6 fiołkowy;0,85;650 324-423;0;
;Artoz 1001 koperta C6 j.czerwony;0,85;650 324-515;0;
;Artoz 1001 koperta C6 liliowy;0,85;650 324-453;0;
;Artoz 1001 koperta C6 mango;0,85;650 324-575;120;
;Artoz 1001 koperta C6 nieb.król;0,85;650 324-427;0;
;Artoz 1001 koperta C6 nieb.pastel;0,85;650 324-413;0;
;Artoz 1001 koperta C6 niebieski;0,85;650 324-393;71;
;Artoz 1001 koperta C6 słoneczny;0,85;650 324-247;0;
;Artoz 1001 koperta C6 wios.zieleń;0,85;650 324-305;0;
;Artoz 1001 koperta C6 z futr j. kremowy;0,85;650 323-211;0;
;Artoz 1001 koperta C6 z futr popielaty;1,07;650 323-215;0;
;Artoz 1001 koperta C6 żółty;0,85;650 324-275;76;
;Artoz 1001 koperta C7 brzoskwiniowy;0,99;650 134-571;0;WYCOFANY
;Artoz 1001 koperta C7 j.zieleń;0,99;650 134-331;0;
;Artoz 1001 koperta C7, atramentowa;1,2;650 134-426;0;
;Artoz 1001 koperta C7, biała;1,2;650 134-210;0;
;Artoz 1001 koperta C7, błękitna;0,99;650 134-391;0;
;Artoz 1001 koperta C7, bordowa;1,2;650 134-519;39;
;Artoz 1001 koperta C7, c.zielona;1,2;650 134-339;0;
;Artoz 1001 koperta C7, ciemna wiśnia;1,2;650 134-489;0;
;Artoz 1001 koperta C7, cytrynowa;1,2;650 134-274;0;
;Artoz 1001 koperta C7, czerwona;1,2;650 134-517;0;
;Artoz 1001 koperta C7, fiołkowa;1,2;650 134-423;0;
;Artoz 1001 koperta C7, fuksja;1,2;650 134-487;0;
;Artoz 1001 koperta C7, granatowa;1,2;650 134-417;0;
;Artoz 1001 koperta C7, j.kremowa;0,99;650 134-242;0;WYCOFANY
;Artoz 1001 koperta C7, j.szara;1,2;650 134-216;0;
;Artoz 1001 koperta C7, jasnoniebieska;1,2;650 134-390;0;
;Artoz 1001 koperta C7, jasnoróżowa;1,2;650 134-480;0;WYCOFANY
;Artoz 1001 koperta C7, kość słoniowa;1,2;650 134-240;0;
;Artoz 1001 koperta C7, kremowa;1,2;650 134-241;0;
;Artoz 1001 koperta C7, liliowa;1,2;650 134-453;0;
;Artoz 1001 koperta C7, mango;1,2;650 134-577;0;
;Artoz 1001 koperta C7, miętowa;1,2;650 134-330;0;
;Artoz 1001 koperta C7, miodowa;1,2;650 134-243;50;
;Artoz 1001 koperta C7, morela;1,2;650 134-570;0;
;Artoz 1001 koperta C7, morska;1,2;650 134-364;0;
;Artoz 1001 koperta C7, niebieska;1,2;650 134-393;0;
;Artoz 1001 koperta C7, oliwkowa;1,2;650 134-587;0;
;Artoz 1001 koperta C7, pink;1,2;650 134-486;0;
